Rise,Set
320,1117
321,1117
322,1118
322,1118
323,1118
324,1118
324,1119
325,1119
326,1119
326,1119
327,1119
328,1119
328,1119
329,1119
330,1120
330,1120
331,1120
332,1120
332,1119
333,1119
334,1119
334,1119
335,1119
335,1119
336,1119
337,1119
337,1118
338,1118
339,1118
339,1118
340,1117
340,1117
341,1117
342,1116
342,1116
343,1115
343,1115
344,1115
344,1114
345,1114
345,1113
346,1113
347,1112
347,1112
348,1111
348,1110
348,1110
349,1109
349,1109
350,1108
350,1107
351,1107
351,1106
352,1105
352,1105
352,1104
353,1103
353,1102
354,1102
354,1101
354,1100
355,1099
355,1099
355,1098
356,1097
356,1096
356,1095
357,1095
357,1094
357,1093
358,1092
358,1091
358,1090
359,1090
359,1089
359,1088
359,1087
360,1086
360,1085
360,1084
361,1084
361,1083
361,1082
361,1081
362,1080
362,1079
362,1078
362,1077
363,1077
363,1076
363,1075
363,1074
364,1073
364,1072
364,1071
365,1071
365,1070
365,1069
365,1068
366,1067
366,1067
366,1066
366,1065
367,1064
367,1063
367,1063
368,1062
368,1061
368,1060
368,1060
369,1059
369,1058
369,1058
370,1057
370,1056
370,1056
371,1055
371,1054
371,1054
372,1053
372,1053
372,1052
373,1051
373,1051
373,1050
374,1050
374,1049
375,1049
375,1048
375,1048
376,1047
376,1047
376,1047
377,1046
377,1046
378,1046
378,1045
378,1045
379,1045
379,1044
380,1044
380,1044
380,1044
381,1043
381,1043
381,1043
382,1043
382,1043
383,1043
383,1042
383,1042
384,1042
384,1042
385,1042
385,1042
385,1042
386,1042
386,1042
386,1042
387,1042
387,1042
387,1042
388,1042
388,1043
388,1043
389,1043
389,1043
389,1043
389,1043
390,1044
390,1044
390,1044
390,1044
391,1044
391,1045
391,1045
391,1045
391,1045
391,1046
391,1046
392,1046
392,1047
392,1047
392,1047
392,1048
392,1048
392,1048
392,1049
392,1049
392,1049
392,1050
392,1050
392,1050
391,1051
391,1051
391,1051
391,1052
391,1052
391,1053
390,1053
390,1053
390,1054
390,1054
389,1054
389,1055
389,1055
388,1055
388,1056
388,1056
387,1056
387,1057
386,1057
386,1058
385,1058
385,1058
384,1058
384,1059
383,1059
383,1059
382,1060
382,1060
381,1060
381,1061
380,1061
379,1061
379,1062
378,1062
377,1062
377,1062
376,1063
375,1063
374,1063
374,1063
373,1064
372,1064
371,1064
371,1064
370,1065
369,1065
368,1065
367,1065
367,1066
366,1066
365,1066
364,1066
363,1066
362,1067
361,1067
361,1067
360,1067
359,1067
358,1068
357,1068
356,1068
355,1068
354,1068
353,1069
352,1069
352,1069
351,1069
350,1069
349,1070
348,1070
347,1070
346,1070
345,1070
344,1071
343,1071
342,1071
342,1071
341,1072
340,1072
339,1072
338,1072
337,1073
336,1073
335,1073
334,1073
334,1074
333,1074
332,1074
331,1074
330,1075
329,1075
329,1075
328,1076
327,1076
326,1076
325,1077
325,1077
324,1077
323,1078
322,1078
322,1078
321,1079
320,1079
320,1080
319,1080
318,1080
318,1081
317,1081
317,1082
316,1082
315,1083
315,1083
314,1084
314,1084
313,1085
313,1085
312,1086
312,1086
312,1087
311,1087
311,1088
311,1088
310,1089
310,1089
310,1090
309,1091
309,1091
309,1092
309,1092
308,1093
308,1094
308,1094
308,1095
308,1095
308,1096
308,1097
308,1097
308,1098
308,1099
308,1099
308,1100
308,1101
308,1101
308,1102
308,1102
309,1103
309,1104
309,1104
309,1105
310,1106
310,1106
310,1107
310,1107
311,1108
311,1109
312,1109
312,1110
312,1110
313,1111
313,1111
314,1112
314,1112
315,1113
315,1113
316,1114
316,1114
317,1115
317,1115
318,1116
318,1116
319,1116
320,1117
